step,t,atom_id,mol_id,x,y,z,pe,h,xlo,xhi,ylo,yhi,zlo,zhi,h_ave
1,23000000,7353,50.0,12.8926,13.2288,7.98884,-3.5185,4.3421,0.0,0.0,0.0,0.0,0.0,0.0,7.739455999999999
1,23000000,7354,50.0,12.7086,12.9173,7.82646,-4.0245,3.8361,0.0,0.0,0.0,0.0,0.0,0.0,7.294637333333333
1,23000000,3619,25.0,15.1642,3.20329,6.98714,6.9102,14.7708,0.0,0.0,0.0,0.0,0.0,0.0,5.580411267605634
1,23000000,3618,25.0,15.0534,3.14715,7.35772,2.5142,10.3748,0.0,0.0,0.0,0.0,0.0,0.0,5.257452
1,23000000,7352,50.0,13.0704,13.1733,8.3273,-6.8776,0.983,0.0,0.0,0.0,0.0,0.0,0.0,7.445221126760563
1,23000000,3617,25.0,14.6963,3.00886,7.45439,0.2142,8.0748,0.0,0.0,0.0,0.0,0.0,0.0,6.37686282051282
1,23000000,749,5.0,14.4994,12.0308,3.34833,2.1962,10.0568,0.0,0.0,0.0,0.0,0.0,0.0,4.060131506849316
1,23000000,7267,49.0,0.729511,6.00695,2.073,-9.7592,-1.8986,0.0,0.0,0.0,0.0,0.0,0.0,8.823570967741935
1,23000000,1141,8.0,5.37891,16.1379,4.69407,-3.1486,4.7121,0.0,0.0,0.0,0.0,0.0,0.0,7.827195714285714
1,23000000,7266,49.0,0.890843,5.6493,2.05029,-9.7223,-1.8617,0.0,0.0,0.0,0.0,0.0,0.0,9.587916176470587
1,23000000,3609,25.0,15.6747,1.51611,9.32293,-4.7434,3.1172,0.0,0.0,0.0,0.0,0.0,0.0,4.192644827586206
1,23000000,3608,25.0,15.6485,1.29298,9.6493,-6.1185,1.7421,0.0,0.0,0.0,0.0,0.0,0.0,4.814218965517241
1,23000000,7427,50.0,11.5078,2.03931,8.35998,4.08,11.9406,0.0,0.0,0.0,0.0,0.0,0.0,9.929688888888888
1,23000000,7269,49.0,16.0072,6.38534,2.0335,6.0908,13.9514,0.0,0.0,0.0,0.0,0.0,0.0,8.325120634920635
1,23000000,7243,49.0,5.1184,1.12179,3.51797,10.1988,18.0594,0.0,0.0,0.0,0.0,0.0,0.0,8.601773134328358
1,23000000,7268,49.0,16.1394,6.01071,1.99803,-6.4653,1.3953,0.0,0.0,0.0,0.0,0.0,0.0,8.379865573770491
1,23000000,1142,8.0,5.01908,16.1456,4.53358,-5.7239,2.1367,0.0,0.0,0.0,0.0,0.0,0.0,8.50873698630137
1,23000000,5550,37.0,4.67127,7.60363,13.5509,0.8485,8.7091,0.0,0.0,0.0,0.0,0.0,0.0,8.908484415584416
1,23000000,7355,50.0,12.4805,13.0331,7.53482,-4.0652,3.7954,0.0,0.0,0.0,0.0,0.0,0.0,7.649361643835617
1,23000000,7244,49.0,5.09766,1.46593,3.30662,6.5002,14.3608,0.0,0.0,0.0,0.0,0.0,0.0,8.487621311475412
1,23000000,3607,25.0,15.9355,1.04593,9.72709,-2.3411,5.5195,0.0,0.0,0.0,0.0,0.0,0.0,5.783625862068965
1,23000000,3610,25.0,15.376,1.75591,9.27414,-5.0418,2.8188,0.0,0.0,0.0,0.0,0.0,0.0,4.131996774193548
1,23000000,2789,19.0,9.7524,7.06448,15.0403,8.274,16.1346,0.0,0.0,0.0,0.0,0.0,0.0,3.704142666666667
1,23000000,2855,20.0,11.2813,15.2249,6.82257,2.8538,10.7144,0.0,0.0,0.0,0.0,0.0,0.0,7.12720895522388
1,23000000,7424,50.0,10.5752,1.88811,8.02074,-1.5229,6.3377,0.0,0.0,0.0,0.0,0.0,0.0,9.869410000000002
1,23000000,1332,9.0,13.9414,8.91389,2.32513,-5.5901,2.2705,0.0,0.0,0.0,0.0,0.0,0.0,5.98942405063291
1,23000000,6984,47.0,14.3134,5.39891,13.903,-2.8798,4.9808,0.0,0.0,0.0,0.0,0.0,0.0,9.050516
1,23000000,1331,9.0,14.003,9.19336,2.58363,-6.8413,1.0193,0.0,0.0,0.0,0.0,0.0,0.0,6.195589333333334
1,23000000,1139,8.0,6.00582,15.9194,4.6943,-3.5682,4.2924,0.0,0.0,0.0,0.0,0.0,0.0,7.1469046875
1,23000000,1136,8.0,6.7776,0.75488,4.82019,-5.4646,2.396,0.0,0.0,0.0,0.0,0.0,0.0,8.55854492753623
1,23000000,1137,8.0,6.5463,0.447967,4.88152,-9.1678,-1.3072,0.0,0.0,0.0,0.0,0.0,0.0,7.95000923076923
