step,t,atom_id,mol_id,x,y,z,pe,h,xlo,xhi,ylo,yhi,zlo,zhi
0,22990000,7355,50.0,11.8871,12.7316,7.32295,6.8713,11.5324,0,0,0,0,0,0
0,22990000,7244,49.0,5.20925,0.906993,3.25573,6.414,11.075,0,0,0,0,0,0
0,22990000,3607,25.0,15.7857,1.3566,9.52154,-3.3846,1.2765,0,0,0,0,0,0
0,22990000,3610,25.0,15.0491,1.81065,9.00304,-4.9658,-0.3048,0,0,0,0,0,0
0,22990000,2789,19.0,10.0196,7.17521,15.2645,-6.5277,-1.8666,0,0,0,0,0,0
0,22990000,2855,20.0,10.7192,15.3664,6.93798,10.2306,14.8916,0,0,0,0,0,0
0,22990000,7424,50.0,9.84488,2.16473,8.26302,6.8594,11.5205,0,0,0,0,0,0
0,22990000,1332,9.0,13.428,8.62406,1.94683,-4.4107,0.2504,0,0,0,0,0,0
0,22990000,6984,47.0,14.585,6.05541,14.6811,-4.6454,0.0156,0,0,0,0,0,0
0,22990000,1331,9.0,13.5173,8.76096,2.29442,-4.7605,-0.0994,0,0,0,0,0,0
0,22990000,1139,8.0,5.48065,15.7859,5.30752,6.7846,11.4457,0,0,0,0,0,0
0,22990000,1136,8.0,6.40296,0.402365,5.16754,-3.3834,1.2777,0,0,0,0,0,0
0,22990000,1137,8.0,6.14263,15.9146,5.22089,-2.5226,2.1385,0,0,0,0,0,0
0,22990000,6983,47.0,14.5517,5.97233,15.0718,-1.6335,3.0275,0,0,0,0,0,0
0,22990000,3153,22.0,0.680173,3.88318,6.39855,9.922,14.583,0,0,0,0,0,0
0,22990000,3152,22.0,0.401147,4.11263,6.30039,4.609,9.27,0,0,0,0,0,0
0,22990000,3154,22.0,0.705377,3.75959,6.77918,0.9189,5.58,0,0,0,0,0,0
0,22990000,1134,8.0,7.00215,0.611991,5.15115,-6.5687,-1.9077,0,0,0,0,0,0
0,22990000,7420,50.0,8.8801,2.45319,7.66832,-3.0304,1.6307,0,0,0,0,0,0
0,22990000,1138,8.0,5.78054,16.0449,5.25972,5.6214,10.2825,0,0,0,0,0,0
0,22990000,7423,50.0,9.50437,2.16139,8.0425,1.4091,6.0702,0,0,0,0,0,0
0,22990000,1135,8.0,6.77043,16.106,5.25653,-1.4685,3.1926,0,0,0,0,0,0
0,22990000,7428,50.0,11.1258,2.00904,8.30342,-1.7141,2.947,0,0,0,0,0,0
0,22990000,7422,50.0,9.2007,2.33511,8.21524,-4.1917,0.4693,0,0,0,0,0,0
0,22990000,3628,25.0,13.8013,4.32312,5.64755,2.0573,6.7184,0,0,0,0,0,0
0,22990000,7421,50.0,8.87453,2.2825,8.01716,-2.3342,2.3268,0,0,0,0,0,0
0,22990000,7257,49.0,2.41569,3.18507,2.28945,1.7534,6.4145,0,0,0,0,0,0
0,22990000,1126,8.0,7.29735,1.89861,3.84242,5.0498,9.7109,0,0,0,0,0,0
0,22990000,7286,49.0,12.5786,6.76677,15.8515,11.0297,15.6907,0,0,0,0,0,0
0,22990000,1127,8.0,7.31705,2.23472,4.06226,3.3384,7.9995,0,0,0,0,0,0
0,22990000,7418,50.0,8.53502,2.71864,7.18148,15.0297,19.6907,0,0,0,0,0,0
0,22990000,1129,8.0,7.20073,1.90094,4.63751,2.6214,7.2825,0,0,0,0,0,0
0,22990000,1131,8.0,7.03719,1.63851,5.23361,5.7942,10.4553,0,0,0,0,0,0
0,22990000,1130,8.0,7.24679,1.91614,5.03723,-0.8681,3.793,0,0,0,0,0,0
0,22990000,1128,8.0,7.43381,2.1473,4.43016,-2.4728,2.1883,0,0,0,0,0,0
0,22990000,1133,8.0,6.8926,0.958736,5.27828,-0.5546,4.1064,0,0,0,0,0,0
0,22990000,1132,8.0,7.12726,1.25418,5.14777,1.05,5.711,0,0,0,0,0,0
0,22990000,750,5.0,15.1992,12.6008,4.02677,-19.1,-14.439,0,0,0,0,0,0
0,22990000,4567,31.0,12.6176,2.3902,3.30284,1.6608,6.3219,0,0,0,0,0,0
0,22990000,1125,8.0,7.23174,1.96009,3.46216,1.1402,5.8013,0,0,0,0,0,0
0,22990000,7242,49.0,5.12609,0.585605,3.80371,2.334,6.995,0,0,0,0,0,0
0,22990000,3625,25.0,14.7288,4.03066,5.79429,1.5378,6.1989,0,0,0,0,0,0
0,22990000,3626,25.0,14.4231,4.27552,5.74603,-7.4394,-2.7784,0,0,0,0,0,0
0,22990000,2788,19.0,9.99933,6.96241,14.938,-7.2619,-2.6009,0,0,0,0,0,0
0,22990000,2787,19.0,9.64287,6.94385,14.7699,-4.6773,-0.0162,0,0,0,0,0,0
0,22990000,2786,19.0,9.58014,6.62456,14.5386,-3.6303,1.0308,0,0,0,0,0,0
0,22990000,7290,49.0,11.7895,6.0635,15.1143,-5.8792,-1.2182,0,0,0,0,0,0
0,22990000,7241,49.0,5.02509,0.902769,3.98612,-1.4113,3.2498,0,0,0,0,0,0
0,22990000,3612,25.0,14.691,2.14381,8.58911,-5.3273,-0.6663,0,0,0,0,0,0
0,22990000,7288,49.0,12.1732,6.37791,15.4983,-1.6807,2.9804,0,0,0,0,0,0
0,22990000,7293,49.0,11.3568,5.49797,14.4067,-9.1012,-4.4401,0,0,0,0,0,0
0,22990000,7294,49.0,11.1657,5.15552,14.4239,-3.967,0.694,0,0,0,0,0,0
0,22990000,7289,49.0,12.1008,6.2928,15.1238,-3.8782,0.7829,0,0,0,0,0,0
0,22990000,911,7.0,3.74956,3.1106,3.0118,-2.0376,2.6235,0,0,0,0,0,0
0,22990000,912,7.0,3.84291,3.46488,2.87792,-2.6702,1.9909,0,0,0,0,0,0
0,22990000,1330,9.0,13.7754,9.04577,2.26104,-6.0164,-1.3554,0,0,0,0,0,0
0,22990000,3614,25.0,14.3202,2.35984,8.09919,-0.1407,4.5204,0,0,0,0,0,0
0,22990000,3616,25.0,14.5855,2.7792,7.71075,6.6186,11.2797,0,0,0,0,0,0
0,22990000,3613,25.0,14.6745,2.28634,8.22371,-4.3205,0.3406,0,0,0,0,0,0
0,22990000,3611,25.0,15.0634,2.02137,8.68627,0.2309,4.892,0,0,0,0,0,0
0,22990000,3615,25.0,14.2982,2.50309,7.74148,-1.3515,3.3096,0,0,0,0,0,0
0,22990000,7292,49.0,11.4746,5.61028,14.7591,-9.7307,-5.0697,0,0,0,0,0,0
0,22990000,7291,49.0,11.6859,5.93954,14.7648,-8.2603,-3.5992,0,0,0,0,0,0
0,22990000,3151,22.0,0.483435,4.26688,5.94418,-16.1032,-11.4422,0,0,0,0,0,0
0,22990000,7419,50.0,8.53954,2.45203,7.47934,2.2126,6.8736,0,0,0,0,0,0
0,22990000,7246,49.0,4.80673,0.869083,2.73785,-0.0067,4.6543,0,0,0,0,0,0
0,22990000,7237,49.0,5.07146,1.86258,4.67469,-9.3058,-4.6448,0,0,0,0,0,0
0,22990000,6986,47.0,14.328,5.98693,14.0815,-0.4,4.2611,0,0,0,0,0,0
0,22990000,8547,57.0,13.364,5.41638,8.7656,-0.41,4.251,0,0,0,0,0,0
0,22990000,770,6.0,11.0888,13.244,8.28777,8.2535,12.9145,0,0,0,0,0,0
0,22990000,8546,57.0,13.5937,5.44552,9.06683,-4.6291,0.032,0,0,0,0,0,0
0,22990000,784,6.0,7.74727,13.647,7.25201,-1.735,2.9261,0,0,0,0,0,0
0,22990000,8548,57.0,13.2289,5.74049,8.61323,-4.8239,-0.1628,0,0,0,0,0,0
