step,t,atom_id,mol_id,x,y,z,ent,p2,q6
1050,10500000,1308,9.0,1.447336,2.2245850000000003,6.344669,-4.867,0.1538,0.04733654
1050,10500000,2653,18.0,1.0412860000000002,2.228395,4.888719,-5.011,0.3186,0.06936649
1050,10500000,1309,9.0,1.182186,2.393285,6.107289,-4.903,0.2295,0.05025278
1050,10500000,1310,9.0,0.8017160000000001,2.311035,6.209449,-4.909,0.22,0.06047977
1050,10500000,2654,18.0,0.688884,2.400385,4.860579,-4.96,0.2983,0.05956465
1050,10500000,2649,18.0,2.086826,2.817015,4.814959,-5.029,0.3385,0.08941245
1050,10500000,857,6.0,2.709246,0.1047529999999999,7.805318999999999,-4.77,-0.015,0.08667552
1050,10500000,7449,50.0,3.460206,1.1629649999999998,5.550269,-5.215,0.2905,0.05699169
1050,10500000,1305,9.0,2.399736,2.358325,6.561719,-5.027,0.0009,0.065257
1050,10500000,1306,9.0,2.057666,2.174555,6.553809,-5.01,0.049,0.06504031
1050,10500000,2650,18.0,1.712786,2.950985,4.852359,-5.002,0.3015,0.07796373
1050,10500000,7450,50.0,3.742196,1.0074549999999998,5.327699,-5.25,0.0974,0.06899766
1050,10500000,1307,9.0,1.811226,2.373465,6.319459,-4.929,0.189,0.05885232
1050,10500000,2647,18.0,2.719426,2.921165,4.825339,-5.052,0.579,0.07074045
1050,10500000,4567,31.0,2.416486,1.596285,4.193659,-5.169,0.2737,0.08124289
1050,10500000,1303,9.0,2.488006,2.218935,7.207329,-4.989,0.1015,0.06394346
1050,10500000,1304,9.0,2.647656,2.202055,6.836829,-5.034,-0.0273,0.07351232
1050,10500000,856,6.0,2.815116,0.207382,7.446429,-4.983,0.0309,0.09195559
1050,10500000,2648,18.0,2.380656,3.042415,4.975989,-5.074,0.4082,0.06724205
1050,10500000,4568,31.0,2.735286,1.7928450000000002,4.100079,-5.221,0.2681,0.06658892
1050,10500000,7448,50.0,3.177486,0.906505,5.642459,-5.121,0.2547,0.0754388
1050,10500000,7482,50.0,1.832906,3.063565,3.803239,-5.042,0.1634,0.07439609
1050,10500000,2106,15.0,3.359146,2.821005,0.981349,-4.965,-0.0576,0.08000788
1050,10500000,4795,32.0,0.7196039999999999,2.0020450000000003,2.187439,-5.311,0.0372,0.09293661
1050,10500000,1851,13.0,1.993966,0.984485,1.923199,-5.138,0.3761,0.10702943
1050,10500000,7483,50.0,1.525096,2.863035,3.675889,-5.07,0.1328,0.06696598
1050,10500000,2107,15.0,3.436676,2.437795,0.929319,-4.974,0.0493,0.08441079
1050,10500000,2108,15.0,3.618316,2.248205,1.213999,-5.038,0.0853,0.07542232
1050,10500000,7484,50.0,1.607176,2.480305,3.650399,-5.085,0.1729,0.08375966
1050,10500000,1320,9.0,2.598336,3.423855,6.110049,-5.102,-0.1191,0.0518813
1050,10500000,1129,8.0,2.812376,0.3504549999999999,3.991769,-5.084,-0.1642,0.06995968
1050,10500000,6505,44.0,1.291236,0.520172,6.902879,-4.788,0.213,0.07921657
1050,10500000,1321,9.0,2.965836,3.583235,6.101019,-5.229,0.0371,0.05427676
1050,10500000,6506,44.0,1.519826,0.217702,6.833389,-4.745,0.1262,0.11438093
1050,10500000,1322,9.0,3.009386,3.796385,5.768159,-5.026,0.0525,0.07032622
1050,10500000,6507,44.0,1.694886,0.071293,7.142619,-4.768,0.1377,0.11001175
1050,10500000,1323,9.0,3.363226,3.946285000000001,5.727589,-4.968,0.1891,0.07370117
1050,10500000,806,6.0,3.372576,0.080492,6.405409,-5.069,-0.052,0.09705339
1050,10500000,1318,9.0,2.130886,3.080705,5.834979,-5.05,0.1484,0.05426793
1050,10500000,6502,44.0,0.794986,1.008925,6.760369,-4.908,0.1665,0.06786741
1050,10500000,6503,44.0,1.137956,1.141935,6.873639,-4.877,0.1978,0.06303416
1050,10500000,1319,9.0,2.520726,3.147185,5.853589,-5.075,-0.0344,0.0458271
1050,10500000,1127,8.0,3.357946,0.2258209999999999,4.294379,-5.246,-0.0052,0.06064319
1050,10500000,1128,8.0,2.986506,0.208463,4.305939,-5.186,-0.0409,0.07372955
1050,10500000,6504,44.0,1.398116,0.876745,6.768759,-4.873,0.0667,0.07955417
1050,10500000,6498,44.0,0.204635,1.999155,6.831999,-4.899,0.0577,0.06910538
1050,10500000,1314,9.0,0.8932960000000001,3.423755,5.940749,-4.938,-0.0726,0.06304126
1050,10500000,6499,44.0,0.165605,1.7163849999999998,7.103529,-4.832,0.3428,0.07983386
1050,10500000,1315,9.0,1.2562060000000002,3.538595,5.855519,-4.996,0.2352,0.07829139
1050,10500000,6500,44.0,0.479196,1.4715349999999998,7.096519,-4.836,0.0091,0.07625912
1050,10500000,1316,9.0,1.528686,3.248775,5.867089,-5.003,0.2423,0.06689864
1050,10500000,6501,44.0,0.522159,1.2794150000000002,6.763279,-4.822,0.0181,0.07070432
1050,10500000,1317,9.0,1.884896,3.371405,5.755069,-5.089,0.24,0.06000521
1050,10500000,1289,9.0,3.902306,3.3611150000000003,6.746249,-5.103,0.1137,0.04722055
1050,10500000,8458,57.0,0.225842,0.0983379999999999,7.149738999999999,-4.793,0.1726,0.06640399
1050,10500000,6538,44.0,2.145136,3.5091650000000003,7.033039,-5.209,0.0324,0.05929583
1050,10500000,4555,31.0,0.234478,0.1605109999999999,5.648409,-4.721,-0.0251,0.04524862
1050,10500000,6539,44.0,2.032746,3.835635,7.211739,-5.207,0.2136,0.07382086
1050,10500000,4556,31.0,0.617046,0.1159029999999999,5.629859,-4.759,0.0762,0.05250035
1050,10500000,844,6.0,3.703856,2.938295,5.692589,-5.037,0.1225,0.07954373
1050,10500000,845,6.0,3.726646,2.734185,6.024719,-5.05,0.0737,0.06017485
1050,10500000,3637,25.0,1.536406,1.580835,5.790689,-4.992,0.1246,0.05845127
1050,10500000,3638,25.0,1.731596,1.499825,5.467969,-5.011,0.2256,0.0725197
1050,10500000,3639,25.0,2.085876,1.672015,5.446949,-5.159,0.1441,0.0664338
