step,t,atom_id,mol,x,y,z,ent,p2,q2,q4,q6,q8,q10,v,nfaces,h,ent_category,S_band1,S_band2,S_band3,S_band4,S_band5,S_band6
3600,36000000,1,1,8.978866,5.869131,11.920091,-7.678,-0.03446252252252252,0.0144630191876786,0.120356994414442,0.249283734664987,0.107400901099499,0.0638743689428242,0.836,25,-3.15487464788732,1,-8.8585,-7.27455555555556,-7.97456521739131,-7.74054166666667,-7.43606451612903,-7.91727272727273
3600,36000000,2,1,9.056486,5.533521,11.738491,-8.14,0.736,0.0140240941682628,0.133744175288873,0.284062827692665,0.117711081418596,0.0760665256675016,0.370692,14,-3.70420789473684,1,-9.74566666666667,-8.23536363636364,-8.49231818181818,-8.09055555555556,-8.20987037037037,-7.92805747126437
3600,36000000,3,1,9.279926,5.274521,11.935891,-8.428,0.7677,0.0244376704326219,0.117720805540948,0.257051331999698,0.0982574979337198,0.0628106903042698,0.44938,15,-3.21522133333333,1,-9.60375,-8.67583333333334,-8.72731034482759,-8.46707407407407,-8.53759259259259,-8.06462962962963
3600,36000000,4,1,9.417406,4.999641,11.704891,-8.84,0.8434,0.0274821251047281,0.137425928990706,0.287393969906771,0.108674461374506,0.0770805621237059,0.363571,16,-3.70531898734177,1,-9.869,-9.36927272727273,-9.3052380952381,-8.9000625,-8.94403636363637,-8.30132051282052
3600,36000000,5,1,9.670646,4.761611,11.863791,-9.026,0.7929,0.0310796604765256,0.132957706270746,0.284684521298806,0.104921426390257,0.076767115127384,0.377454,11,-3.98775125,1,-11.27275,-9.85285714285714,-9.81593333333333,-8.80407407407408,-8.69659649122807,-8.66704054054054
3600,36000000,6,1,9.894346,4.577941,11.598691,-9.366,0.8638,0.0280184652643927,0.143389060088804,0.298519588118369,0.11187551244976,0.0851135489905746,0.375737,17,-4.37448333333333,1,-11.20025,-9.6304,-10.2676666666667,-9.85075,-8.87501724137931,-8.951475
3600,36000000,7,1,10.107546,4.297101,11.766691,-9.475,0.8995,0.0283324493037156,0.143166709656299,0.297718475156208,0.105708740887694,0.0849602696481174,0.385036,14,-4.689465,1,-12.1495,-10.0491666666667,-10.4986774193548,-9.50042307692308,-8.9607,-9.023
3600,36000000,8,1,10.327346,4.108591,11.511191,-9.88,0.9531,0.0272815753810369,0.154850402005434,0.306052665748977,0.108392452757333,0.0928760364049248,0.392387,17,-5.23119390243903,1,-13.84975,-11.3824444444444,-10.2746333333333,-10.1246538461538,-9.52258620689655,-9.0421511627907
3600,36000000,9,1,10.515546,3.799181,11.690991,-9.928,0.9521,0.0300756042526116,0.155446866499049,0.310484937793122,0.108976133837167,0.0945821637907228,0.429706,18,-5.47361538461538,1,-13.0575,-11.135,-10.8121290322581,-9.73,-9.54960655737705,-9.2170875
3600,36000000,10,1,10.747346,3.581501,11.452691,-10.189,0.9527,0.029033168837335,0.15650894405643,0.317956008382753,0.112821510296548,0.0970713075091751,0.385518,15,-5.86128705882353,1,-12.62325,-11.9757142857143,-10.93221875,-10.3761153846154,-9.78675409836066,-9.42529761904762
