step,t,atom_id,mol,x,y,z,ent,p2,q2,q4,q6,q8,q10,v,nfaces,h,ent_category,S_i,S_band1,S_band2,S_band3,S_band4,S_band5,S_band6,Cluster_Label
1580,15800000,11,1,10.114998,4.970297,11.631098,-7.269,0.7167,0.0288419645318468,0.177672595096266,0.240967100126799,0.113046524538897,0.0882080111921639,0.445539,16,-2.62401486486486,1,-6.449,-8.02533333333333,-6.73425,-7.69573913043478,-7.26845833333333,-6.86146666666667,-7.55414084507042,1
1580,15800000,12,1,10.147698,4.643767,11.418398,-7.627,0.807,0.0287406794332203,0.176062643004413,0.240934307134023,0.10943804480576,0.0901609440060948,0.34916,13,-3.27630266666667,1,-10.825,-7.43175,-7.50681818181818,-8.1365,-7.18524,-7.64560377358491,-7.7278313253012,1
1580,15800000,13,1,10.482098,4.444237,11.498398,-7.706,0.7878,0.0251937100571024,0.186380199419476,0.229131554785362,0.113926727190184,0.0972505021620119,0.391717,14,-2.99463561643836,1,-9.065,-8.16975,-6.733,-8.329875,-7.61152,-7.24049206349206,-8.31072972972973,1
1580,15800000,14,1,10.482198,4.070607,11.360898,-8.176,0.8748,0.0181597138538284,0.180761170398957,0.24114294866889,0.104910279993069,0.0941712391401919,0.374129,14,-3.72881951219512,1,-7.862,-9.07875,-7.9412,-8.20834615384615,-7.82196,-8.03608474576271,-8.40586301369863,1
1580,15800000,15,1,10.818798,3.896007,11.460698,-8.199,0.8879,0.012350041677606,0.186887045332384,0.22616894148499,0.108784475650382,0.0947262725525101,0.40014,16,-3.492436,1,-7.543,-8.35975,-7.40211111111111,-8.81869230769231,-7.73661538461539,-7.9583064516129,-8.58794594594595,1
1580,15800000,16,1,10.820398,3.536307,11.302098,-8.657,0.9206,0.0077823927181674,0.178816126321012,0.236812359966538,0.0997770970722369,0.0902297705131687,0.382134,15,-4.85265595238095,1,-8.882,-8.05725,-9.2657,-8.63177777777778,-8.51760714285714,-8.74506557377049,-8.7247027027027,1
1580,15800000,17,1,11.121798,3.321827,11.426398,-8.744,0.9386,0.0125681460721033,0.174902668766067,0.243042666451665,0.103981629925255,0.0906971812572547,0.382459,15,-5.1232625,1,-7.63,-8.6515,-7.70028571428571,-8.7199,-9.19991666666667,-8.48579032258065,-8.9646125,1
1580,15800000,18,1,11.200598,3.015537,11.206898,-9.149,0.9619,0.0215137571475955,0.168973130658921,0.265688549237807,0.105826716964891,0.0909089573997264,0.37376,15,-5.91936829268293,1,-9.194,-8.48375,-10.3357777777778,-9.03193548387096,-9.42740740740741,-9.32243103448276,-8.393,1
1580,15800000,19,1,11.487598,2.808427,11.359198,-8.924,0.9388,0.0254426374859706,0.164897842918691,0.278075505702553,0.109099156213739,0.0894264532303779,0.388077,14,-5.9374282051282,1,-8.987,-8.742,-8.79271428571429,-9.90341935483871,-9.11569230769231,-8.71028125,-8.75619736842105,1
1580,15800000,20,1,11.545498,2.461587,11.195198,-9.279,0.9656,0.0257268201803969,0.162458145370744,0.293252570259425,0.112955807474769,0.0929875109032217,0.370016,16,-6.38956144578314,1,-8.436,-10.0415,-10.407,-9.90032142857143,-9.04875,-9.23006153846154,-8.40067105263158,1
1580,15800000,21,1,11.855298,2.257887,11.295498,-8.966,0.9668,0.0247423055725683,0.15963151750577,0.308455444916249,0.11525730487982,0.0919387343878008,0.378514,16,-6.30700361445783,1,-9.708,-10.47175,-9.57688888888889,-10.4150322580645,-9.13211538461539,-8.544953125,-8.57997260273973,1
1580,15800000,22,1,11.900698,1.907327,11.117298,-9.202,0.9572,0.0304818019054133,0.162631408326933,0.314113876288511,0.114147032033654,0.0946512810536549,0.373438,16,-6.69211724137931,1,-12.277,-10.92775,-10.653625,-10.25965625,-9.08156,-9.14409677419355,-8.15728205128205,1
1580,15800000,23,1,12.236998,1.755377,11.227298,-8.898,0.9458,0.026969447963099,0.157586402942771,0.313104776841184,0.11694977465,0.0940511600166327,0.362076,14,-6.85873095238095,1,-12.187,-11.43125,-9.6175,-10.0175,-9.27881481481482,-8.60225862068966,-8.03127631578948,1
1580,15800000,24,1,12.282798,1.418307,11.047098,-8.886,0.9258,0.0301576746786862,0.159181112137133,0.312748581992552,0.11158413018553,0.095867596659745,0.370883,16,-7.27204625,1,-13.38,-11.46025,-10.2527,-9.92267857142857,-9.54056,-8.53319672131148,-8.39831506849315,1
1580,15800000,25,1,12.608498,1.230317,11.143198,-8.554,0.9068,0.0262336525636581,0.152174968843537,0.305116300145595,0.112321875525862,0.0926549752550595,0.369118,16,-6.9052024691358,1,-10.36,-11.55225,-9.22422222222222,-9.92837037037037,-8.80881481481482,-8.57601818181818,-7.97394736842105,1
1580,15800000,26,1,12.676698,0.943257,10.881298,-8.692,0.9107,0.0297263440228698,0.159333324352531,0.310358605152096,0.109661564696223,0.0966014348312371,0.38233,16,-7.01164246575342,1,-11.017,-10.37975,-9.984125,-10.1200769230769,-8.76996296296296,-8.44074509803922,-8.157,1
1580,15800000,27,1,12.942498,0.682767,10.969098,-8.307,0.8247,0.0240594701720171,0.16024295019325,0.297769792750016,0.105176097406625,0.0912923236657171,0.406547,13,-6.02778082191781,1,-9.625,-9.8165,-9.36016666666667,-9.29607142857143,-8.47583333333333,-8.07790566037736,-7.97956962025317,1
1580,15800000,28,1,13.048598,0.440656,10.677598,-8.298,0.8169,0.0306888461530464,0.163896906366797,0.303663612431668,0.108175848006268,0.0942031616358211,0.391735,14,-5.58644347826087,1,-8.154,-10.1256666666667,-9.9935,-8.80942857142857,-8.80695454545454,-8.42751851851852,-7.56934523809524,1
1580,15800000,29,1,13.277198,0.139166,10.797298,-7.832,0.4691,0.0236356144774852,0.165209107883374,0.287609909944695,0.101711415742778,0.0879848941391716,0.479926,15,-4.66551911764706,1,-9.735,-8.15233333333333,-9.008,-8.09092857142857,-8.5054347826087,-7.86444230769231,-7.62306024096385,1
1580,15800000,30,1,13.435298,15.774767,10.501098,-7.693,0.4594,0.0305173785010005,0.169491385612098,0.280514152077294,0.104109019759759,0.0894743419346853,0.367556,13,-4.55310769230769,1,-6.678,-9.35066666666667,-7.4845,-7.52390476190476,-7.68928,-7.64764150943396,-7.40890476190476,1
1580,15800000,31,1,13.659698,15.467167,10.587598,-7.279,0.722,0.0280780897954055,0.16948036726968,0.243745178087166,0.0876711729099013,0.0728738391148144,0.479047,16,-4.25273181818182,1,-11.442,-8.05533333333333,-7.13533333333333,-6.58744444444444,-7.21229166666667,-7.25939130434783,-7.26928947368421,1
1580,15800000,32,1,13.785198,15.280067,10.277398,-7.156,0.7327,0.0379089945679208,0.172388833830307,0.235695094810759,0.0912727584703414,0.0791906867600293,0.377262,14,-3.81557941176471,1,-6.875,-8.68875,-8.4008,-6.29472727272727,-6.58223333333333,-7.67380487804878,-7.13550666666667,1
1580,15800000,33,1,14.033798,14.984467,10.330598,-6.768,0.7292,0.0411402019911804,0.17455898344118,0.185364260436936,0.078657246346267,0.0665012606714187,0.468951,20,-3.35524179104478,1,-10.613,-8.2225,-5.91525,-6.15,-6.53813043478261,-6.56408333333333,-6.97183098591549,1
1580,15800000,34,1,14.082798,14.761267,10.010798,-6.658,0.7231,0.0381242735736313,0.185599788223325,0.173436592427316,0.0823062500668006,0.069733997262511,0.392168,14,-2.80501267605634,1,-6.022,-7.6395,-8.76166666666667,-6.22933333333333,-5.61559259259259,-6.79944117647059,-6.95730158730159,1
1580,15800000,35,1,14.314498,14.462367,10.077598,-6.129,0.6486,0.0344669255182481,0.166665542365198,0.132942727213627,0.0641828668076834,0.0556331556358574,0.417687,16,-2.39960434782609,1,-8.551,-6.223,-6.08133333333333,-6.83983333333333,-5.61575,-5.80611428571429,-6.34423880597015,1
1580,15800000,36,1,14.501198,14.313267,9.756998,-5.991,0.6253,0.0276371963215162,0.163040237834381,0.125036762486714,0.0651898212719964,0.0608081600697827,0.388008,15,-2.91839846153846,1,-4.519,-6.16625,-8.10633333333333,-5.77173076923077,-5.4271,-5.95167441860465,-5.94983636363636,1
1580,15800000,37,1,14.725298,14.007467,9.833098,-5.761,0.5156,0.0193265302822535,0.150113241272725,0.105940559529942,0.0471431258791793,0.0491699077368594,0.372138,15,-2.36832153846154,0,-3.738,-6.37675,-4.75828571428571,-6.48048,-5.89515,-5.25136956521739,-5.71511290322581,0
1580,15800000,38,1,14.826898,13.808267,9.520658,-5.631,0.4854,0.0248574733463707,0.134017827397287,0.105791225294789,0.0434891127197852,0.0430442302128875,0.415051,16,-1.09004166666667,0,-6.354,-4.496,-6.37628571428571,-5.69060869565217,-5.22864,-5.74106976744186,-5.64382258064516,0
