step,t,atom_id,mol_id,x,y,z,ent,p2,q6
2300,23000000,3764,26.0,2.280671,3.312423,2.922847,-5.506,0.1641,0.06754635
2300,23000000,3765,26.0,2.1994610000000003,3.678623,3.003007,-5.473,0.0758,0.06254298
2300,23000000,8508,57.0,0.706351,3.800443000000001,2.763817,-5.672,0.193,0.10863063
2300,23000000,6460,44.0,0.586637,3.715293,3.794247,-5.64,-0.1806,0.08846583
2300,23000000,1864,13.0,0.558482,0.961553,3.428417,-5.678,0.0303,0.0889308
2300,23000000,1865,13.0,0.4778559999999999,1.217193,3.145227,-5.735,0.0511,0.07520106
2300,23000000,6473,44.0,1.276171,0.915473,1.260407,-5.712,0.4104,0.10315395
2300,23000000,6474,44.0,1.549781,0.808093,1.003457,-5.671,0.3941,0.11583788
2300,23000000,8513,57.0,0.7264809999999999,2.613593,1.625707,-5.728,0.3421,0.11520192
2300,23000000,1025,7.0,3.416461,1.921983,1.231397,-5.8,0.121,0.07989418
2300,23000000,8514,57.0,0.970791,2.369113,1.438187,-5.751,0.3381,0.11257803
2300,23000000,1026,7.0,3.446541,1.591253,1.012907,-5.739,0.0615,0.06979084
2300,23000000,6476,44.0,1.7501209999999998,0.4539999999999999,0.499756,-5.633,-0.2272,0.08677328
2300,23000000,1868,13.0,0.1963099999999999,1.684983,2.591977,-5.571,-0.1236,0.07811999
2300,23000000,908,7.0,3.036741,2.502743,3.635887,-5.55,0.0131,0.085864
2300,23000000,909,7.0,3.089281,2.615933,3.2623770000000003,-5.559,-0.0237,0.08366994
2300,23000000,6468,44.0,1.457391,1.811843,2.615397,-5.73,0.371,0.0760548
2300,23000000,1860,13.0,1.479481,0.275738,3.516567,-5.664,0.0574,0.07473915
2300,23000000,8516,57.0,1.040591,1.940113,0.969757,-5.783,0.3238,0.115788
2300,23000000,1028,7.0,3.316481,0.967133,0.952347,-5.615,-0.0772,0.0801297
2300,23000000,910,7.0,3.433631,2.6321830000000004,3.062707,-5.545,0.0399,0.07829409
2300,23000000,5582,38.0,2.2787610000000003,3.631713,0.339251,-5.502,0.0664,0.0437297
2300,23000000,5583,38.0,2.3726510000000003,3.271183,0.454103,-5.519,0.1726,0.04526357
2300,23000000,1871,13.0,0.069878,1.623023,1.870737,-5.589,0.3076,0.1160519
2300,23000000,6469,44.0,1.318971,1.504723,2.422047,-5.648,0.1652,0.08439033
2300,23000000,8517,57.0,0.923081,1.819903,0.6051690000000001,-5.706,0.2214,0.11956499
2300,23000000,6598,44.0,0.0787319999999999,2.170853,0.189237,-5.617,-0.2387,0.09213431
2300,23000000,6470,44.0,1.434601,1.508793,2.0458570000000003,-5.654,0.1922,0.1057135
2300,23000000,1872,13.0,0.1174939999999999,1.552783,1.487227,-5.645,0.389,0.12449406
2300,23000000,7248,49.0,3.675371,1.079533,2.185127,-5.601,-0.0981,0.06023368
2300,23000000,1873,13.0,0.0488779999999999,1.198183,1.373177,-5.542,0.3366,0.11723899
2300,23000000,7249,49.0,3.570031,1.452153,2.2751270000000003,-5.635,-0.0571,0.07620166
2300,23000000,2627,18.0,3.187111,1.432743,5.691917,-5.587,0.2485,0.10223593
2300,23000000,1155,8.0,1.192611,1.602123,4.229387,-5.491,0.2083,0.09349099
2300,23000000,3588,24.0,1.731731,3.526433,3.962947,-5.496,0.1201,0.06277779
2300,23000000,7492,50.0,3.6782910000000006,0.995363,7.579897,-5.671,0.301,0.12938951
2300,23000000,1874,13.0,0.216017,1.145833,1.015547,-5.578,0.3291,0.1239887
