step,t,atom_id,mol_id,x,y,z,S,xlo,xhi,ylo,yhi,zlo,zhi,S_ave_0.4to0.8,S_ave_0.8to1.1,S_ave_1.1to1.5,S_ave_1.5to1.9,S_ave_1.9to2.3,S_ave_2.3to2.7
1,23000000,26,1.0,15.1548,13.3488,14.0238,-8.251,0.0,0.0,0.0,0.0,0.0,0.0,-6.0155,-4.818,-5.331645161290322,-5.190708333333334,-5.593803921568627,-5.484727272727273
1,23000000,27,1.0,15.3159,13.6362,14.2148,-7.383,0.0,0.0,0.0,0.0,0.0,0.0,-5.351333333333334,-5.722250000000001,-5.110571428571428,-5.314388888888889,-5.448576923076924,-5.574236842105262
1,23000000,28,1.0,15.6137,13.8144,14.0253,-5.432,0.0,0.0,0.0,0.0,0.0,0.0,-7.3025,-5.1240000000000006,-5.334269230769231,-5.182799999999999,-5.1863488372093025,-5.407177419354839
1,23000000,29,1.0,15.8024,14.1307,14.1884,-5.9,0.0,0.0,0.0,0.0,0.0,0.0,-6.42225,-5.82025,-5.149181818181818,-5.339304347826087,-5.223975,-5.2675753424657525
1,23000000,30,1.0,16.1185,14.2576,13.996,-7.676,0.0,0.0,0.0,0.0,0.0,0.0,-5.37125,-5.136000000000001,-5.315677419354839,-5.3281,-5.150041666666667,-5.148885245901639
1,23000000,31,1.0,0.589857,13.9847,14.0623,-5.198,0.0,0.0,0.0,0.0,0.0,0.0,-5.8995,-5.730571428571429,-5.4330869565217395,-5.053032258064516,-5.011571428571428,-5.3740645161290335
1,23000000,32,1.0,0.958079,14.0995,13.9944,-4.955,0.0,0.0,0.0,0.0,0.0,0.0,-5.51525,-5.1808,-5.571291666666667,-4.978961538461538,-5.063867924528302,-5.455241935483872
1,23000000,33,1.0,1.2302,13.8147,14.0326,-5.067,0.0,0.0,0.0,0.0,0.0,0.0,-4.5925,-5.7802500000000006,-5.265625,-5.321074074074074,-4.956698113207548,-5.488865671641791
1,23000000,34,1.0,1.61311,13.921,14.0263,-4.12,0.0,0.0,0.0,0.0,0.0,0.0,-4.517250000000001,-5.446,-5.195058823529411,-5.1243823529411765,-5.1307857142857145,-5.462137931034483
1,23000000,35,1.0,1.8102,13.5923,13.9261,-4.097,0.0,0.0,0.0,0.0,0.0,0.0,-4.336,-3.78625,-5.42515,-5.288914285714285,-5.191363636363636,-5.195507692307692
1,23000000,36,1.0,2.18926,13.6486,13.8602,-3.95,0.0,0.0,0.0,0.0,0.0,0.0,-3.91425,-4.008,-4.84195652173913,-5.48634375,-5.225045454545454,-5.071934426229509
1,23000000,37,1.0,2.36084,13.3294,13.7034,-4.207,0.0,0.0,0.0,0.0,0.0,0.0,-3.7555000000000005,-3.875,-5.483826086956522,-5.204516129032259,-5.144394736842105,-5.068739130434783
1,23000000,38,1.0,2.34714,13.2591,13.3165,-3.233,0.0,0.0,0.0,0.0,0.0,0.0,-3.7785,-4.330857142857143,-5.33057894736842,-5.296354838709677,-5.130428571428571,-5.161859375
