step,t,atom_id,mol_id,v,nfaces,xlo,xhi,ylo,yhi,zlo,zhi
0,22990000,7352,1.0,0.504554,16.0,0,0,0,0,0,0
0,22990000,3617,1.0,0.427508,19.0,0,0,0,0,0,0
0,22990000,749,1.0,0.364237,16.0,0,0,0,0,0,0
0,22990000,7267,1.0,0.471518,17.0,0,0,0,0,0,0
0,22990000,1141,1.0,0.440357,17.0,0,0,0,0,0,0
0,22990000,7266,1.0,0.469261,14.0,0,0,0,0,0,0
0,22990000,3609,1.0,0.444588,18.0,0,0,0,0,0,0
0,22990000,3608,1.0,0.396308,15.0,0,0,0,0,0,0
0,22990000,7427,1.0,0.559533,18.0,0,0,0,0,0,0
0,22990000,7269,1.0,0.439113,18.0,0,0,0,0,0,0
0,22990000,7243,1.0,0.42845,16.0,0,0,0,0,0,0
0,22990000,7268,1.0,0.418534,13.0,0,0,0,0,0,0
0,22990000,1142,1.0,0.431585,14.0,0,0,0,0,0,0
0,22990000,5550,2.0,0.736378,17.0,0,0,0,0,0,0
0,22990000,7355,1.0,0.383203,14.0,0,0,0,0,0,0
0,22990000,7244,1.0,0.375434,14.0,0,0,0,0,0,0
0,22990000,3607,1.0,0.440907,16.0,0,0,0,0,0,0
0,22990000,3610,1.0,0.411793,18.0,0,0,0,0,0,0
0,22990000,2789,1.0,0.372875,16.0,0,0,0,0,0,0
0,22990000,2855,1.0,0.440575,13.0,0,0,0,0,0,0
0,22990000,7424,1.0,0.362883,15.0,0,0,0,0,0,0
0,22990000,1332,1.0,0.508326,17.0,0,0,0,0,0,0
0,22990000,6984,1.0,0.426109,16.0,0,0,0,0,0,0
0,22990000,1331,1.0,0.480241,17.0,0,0,0,0,0,0
0,22990000,1139,1.0,0.387647,15.0,0,0,0,0,0,0
0,22990000,1136,1.0,0.418715,16.0,0,0,0,0,0,0
0,22990000,1137,1.0,0.376393,15.0,0,0,0,0,0,0
0,22990000,6983,1.0,0.464635,16.0,0,0,0,0,0,0
0,22990000,3153,1.0,0.387988,13.0,0,0,0,0,0,0
0,22990000,3152,1.0,0.406027,14.0,0,0,0,0,0,0
0,22990000,3154,1.0,0.45681,16.0,0,0,0,0,0,0
0,22990000,1134,1.0,0.557846,17.0,0,0,0,0,0,0
0,22990000,7420,1.0,0.453266,14.0,0,0,0,0,0,0
0,22990000,1138,1.0,0.491054,18.0,0,0,0,0,0,0
0,22990000,7423,1.0,0.581741,22.0,0,0,0,0,0,0
0,22990000,1135,1.0,0.400589,13.0,0,0,0,0,0,0
0,22990000,7428,1.0,0.456956,17.0,0,0,0,0,0,0
0,22990000,7422,1.0,0.625394,16.0,0,0,0,0,0,0
0,22990000,3628,1.0,0.361079,16.0,0,0,0,0,0,0
0,22990000,7421,1.0,0.400045,12.0,0,0,0,0,0,0
0,22990000,7257,1.0,0.364975,14.0,0,0,0,0,0,0
0,22990000,1126,1.0,0.390276,15.0,0,0,0,0,0,0
0,22990000,7286,1.0,0.396047,15.0,0,0,0,0,0,0
0,22990000,1127,1.0,0.420751,13.0,0,0,0,0,0,0
0,22990000,7418,1.0,0.415848,16.0,0,0,0,0,0,0
0,22990000,1129,1.0,0.385982,14.0,0,0,0,0,0,0
0,22990000,1131,1.0,0.468539,13.0,0,0,0,0,0,0
0,22990000,1130,1.0,0.496362,14.0,0,0,0,0,0,0
0,22990000,1128,1.0,0.422775,13.0,0,0,0,0,0,0
0,22990000,1133,1.0,0.375439,16.0,0,0,0,0,0,0
0,22990000,1132,1.0,0.447912,13.0,0,0,0,0,0,0
0,22990000,750,2.0,0.85073,22.0,0,0,0,0,0,0
0,22990000,4567,1.0,0.402968,18.0,0,0,0,0,0,0
0,22990000,1125,1.0,0.481372,18.0,0,0,0,0,0,0
0,22990000,7242,1.0,0.391004,14.0,0,0,0,0,0,0
0,22990000,3625,1.0,0.385435,15.0,0,0,0,0,0,0
0,22990000,3626,1.0,0.429153,19.0,0,0,0,0,0,0
0,22990000,2788,1.0,0.3886,15.0,0,0,0,0,0,0
0,22990000,2787,1.0,0.385659,16.0,0,0,0,0,0,0
0,22990000,2786,1.0,0.384305,12.0,0,0,0,0,0,0
0,22990000,7290,1.0,0.371891,14.0,0,0,0,0,0,0
0,22990000,7241,1.0,0.394981,16.0,0,0,0,0,0,0
0,22990000,3612,1.0,0.412239,16.0,0,0,0,0,0,0
0,22990000,7288,1.0,0.359134,16.0,0,0,0,0,0,0
0,22990000,7293,1.0,0.485996,18.0,0,0,0,0,0,0
0,22990000,7294,1.0,0.397426,11.0,0,0,0,0,0,0
0,22990000,7289,1.0,0.380163,17.0,0,0,0,0,0,0
0,22990000,911,1.0,0.466549,15.0,0,0,0,0,0,0
0,22990000,912,1.0,0.397615,11.0,0,0,0,0,0,0
0,22990000,1330,1.0,0.382124,14.0,0,0,0,0,0,0
0,22990000,3614,1.0,0.409839,15.0,0,0,0,0,0,0
0,22990000,3616,1.0,0.363705,16.0,0,0,0,0,0,0
0,22990000,3613,1.0,0.37822,14.0,0,0,0,0,0,0
0,22990000,3611,1.0,0.383961,14.0,0,0,0,0,0,0
0,22990000,3615,1.0,0.46566,20.0,0,0,0,0,0,0
0,22990000,7292,1.0,0.444329,17.0,0,0,0,0,0,0
0,22990000,7291,1.0,0.363109,14.0,0,0,0,0,0,0
0,22990000,3151,2.0,0.639731,19.0,0,0,0,0,0,0
0,22990000,7419,1.0,0.392681,13.0,0,0,0,0,0,0
0,22990000,7246,1.0,0.379479,16.0,0,0,0,0,0,0
0,22990000,7237,1.0,0.468635,14.0,0,0,0,0,0,0
0,22990000,6986,1.0,0.436498,15.0,0,0,0,0,0,0
0,22990000,8547,1.0,0.407734,14.0,0,0,0,0,0,0
0,22990000,770,1.0,0.399664,14.0,0,0,0,0,0,0
0,22990000,8546,1.0,0.444387,17.0,0,0,0,0,0,0
0,22990000,784,1.0,0.43468,15.0,0,0,0,0,0,0
0,22990000,8548,1.0,0.42322,16.0,0,0,0,0,0,0
0,22990000,8545,1.0,0.398816,15.0,0,0,0,0,0,0
0,22990000,2857,1.0,0.450332,19.0,0,0,0,0,0,0
0,22990000,8549,1.0,0.445513,15.0,0,0,0,0,0,0
0,22990000,769,1.0,0.371625,13.0,0,0,0,0,0,0
0,22990000,8550,2.0,0.816741,18.0,0,0,0,0,0,0
0,22990000,2858,1.0,0.475191,16.0,0,0,0,0,0,0
0,22990000,2860,1.0,0.49557,19.0,0,0,0,0,0,0
0,22990000,2625,1.0,0.412864,14.0,0,0,0,0,0,0
0,22990000,2626,1.0,0.549541,20.0,0,0,0,0,0,0
0,22990000,767,1.0,0.402816,15.0,0,0,0,0,0,0
0,22990000,2859,1.0,0.42969,20.0,0,0,0,0,0,0
0,22990000,1213,1.0,0.503765,15.0,0,0,0,0,0,0
0,22990000,7296,1.0,0.417175,16.0,0,0,0,0,0,0
0,22990000,205,1.0,0.448629,16.0,0,0,0,0,0,0
0,22990000,2663,1.0,0.444224,16.0,0,0,0,0,0,0
0,22990000,2637,1.0,0.438543,18.0,0,0,0,0,0,0
0,22990000,197,1.0,0.567427,20.0,0,0,0,0,0,0
0,22990000,781,1.0,0.423172,13.0,0,0,0,0,0,0
0,22990000,2662,1.0,0.4358,19.0,0,0,0,0,0,0
0,22990000,1159,1.0,0.41165,17.0,0,0,0,0,0,0
0,22990000,1163,1.0,0.380479,14.0,0,0,0,0,0,0
0,22990000,1162,1.0,0.386024,16.0,0,0,0,0,0,0
0,22990000,1165,1.0,0.417426,15.0,0,0,0,0,0,0
0,22990000,1160,1.0,0.428478,18.0,0,0,0,0,0,0
0,22990000,1161,1.0,0.398865,17.0,0,0,0,0,0,0
0,22990000,1164,1.0,0.371225,16.0,0,0,0,0,0,0
0,22990000,1146,1.0,0.552483,19.0,0,0,0,0,0,0
0,22990000,1166,1.0,0.399882,16.0,0,0,0,0,0,0
0,22990000,2627,1.0,0.475718,17.0,0,0,0,0,0,0
0,22990000,1167,1.0,0.506509,17.0,0,0,0,0,0,0
0,22990000,1144,1.0,0.400223,13.0,0,0,0,0,0,0
0,22990000,1147,1.0,0.521759,15.0,0,0,0,0,0,0
0,22990000,1145,1.0,0.490808,14.0,0,0,0,0,0,0
0,22990000,1150,1.0,0.499862,17.0,0,0,0,0,0,0
0,22990000,1215,1.0,0.466256,16.0,0,0,0,0,0,0
0,22990000,1143,1.0,0.398629,15.0,0,0,0,0,0,0
0,22990000,1148,1.0,0.514081,18.0,0,0,0,0,0,0
0,22990000,8544,1.0,0.392164,17.0,0,0,0,0,0,0
0,22990000,8543,1.0,0.364466,15.0,0,0,0,0,0,0
0,22990000,2047,1.0,0.449312,15.0,0,0,0,0,0,0
0,22990000,2623,1.0,0.415839,16.0,0,0,0,0,0,0
0,22990000,5381,1.0,0.475128,17.0,0,0,0,0,0,0
0,22990000,8542,1.0,0.384775,13.0,0,0,0,0,0,0
0,22990000,2621,1.0,0.398186,18.0,0,0,0,0,0,0
0,22990000,5380,1.0,0.403045,16.0,0,0,0,0,0,0
0,22990000,2624,1.0,0.423788,16.0,0,0,0,0,0,0
0,22990000,2622,1.0,0.406038,19.0,0,0,0,0,0,0
0,22990000,5377,1.0,0.498449,16.0,0,0,0,0,0,0
0,22990000,5378,1.0,0.381172,12.0,0,0,0,0,0,0
0,22990000,5379,1.0,0.454137,20.0,0,0,0,0,0,0
0,22990000,5376,1.0,0.596194,18.0,0,0,0,0,0,0
0,22990000,7297,1.0,0.545729,20.0,0,0,0,0,0,0
0,22990000,7299,1.0,0.487073,17.0,0,0,0,0,0,0
0,22990000,7298,1.0,0.46593,14.0,0,0,0,0,0,0
0,22990000,204,1.0,0.466318,15.0,0,0,0,0,0,0
0,22990000,816,1.0,0.414125,14.0,0,0,0,0,0,0
0,22990000,1174,1.0,0.427452,14.0,0,0,0,0,0,0
0,22990000,2619,1.0,0.383307,15.0,0,0,0,0,0,0
0,22990000,2620,1.0,0.462452,19.0,0,0,0,0,0,0
0,22990000,2618,1.0,0.387877,14.0,0,0,0,0,0,0
0,22990000,1171,1.0,0.405031,17.0,0,0,0,0,0,0
0,22990000,1169,1.0,0.48818,14.0,0,0,0,0,0,0
0,22990000,1168,1.0,0.347407,13.0,0,0,0,0,0,0
0,22990000,1170,1.0,0.378981,15.0,0,0,0,0,0,0
0,22990000,1172,1.0,0.415715,17.0,0,0,0,0,0,0
0,22990000,1173,1.0,0.366647,13.0,0,0,0,0,0,0
0,22990000,203,1.0,0.451718,16.0,0,0,0,0,0,0
0,22990000,2613,1.0,0.349755,14.0,0,0,0,0,0,0
0,22990000,2615,1.0,0.495899,20.0,0,0,0,0,0,0
0,22990000,2050,1.0,0.493643,16.0,0,0,0,0,0,0
0,22990000,1175,1.0,0.51296,20.0,0,0,0,0,0,0
0,22990000,2658,1.0,0.427892,19.0,0,0,0,0,0,0
0,22990000,1176,1.0,0.444522,16.0,0,0,0,0,0,0
0,22990000,775,1.0,0.464647,13.0,0,0,0,0,0,0
0,22990000,773,1.0,0.444766,15.0,0,0,0,0,0,0
0,22990000,776,1.0,0.515876,19.0,0,0,0,0,0,0
0,22990000,774,1.0,0.371038,14.0,0,0,0,0,0,0
0,22990000,772,1.0,0.423544,14.0,0,0,0,0,0,0
0,22990000,771,1.0,0.354498,12.0,0,0,0,0,0,0
0,22990000,201,1.0,0.573967,17.0,0,0,0,0,0,0
0,22990000,206,1.0,0.50672,19.0,0,0,0,0,0,0
0,22990000,2051,1.0,0.458625,15.0,0,0,0,0,0,0
0,22990000,209,1.0,0.450265,16.0,0,0,0,0,0,0
0,22990000,2635,1.0,0.363511,13.0,0,0,0,0,0,0
0,22990000,212,1.0,0.385051,15.0,0,0,0,0,0,0
0,22990000,211,1.0,0.437535,16.0,0,0,0,0,0,0
0,22990000,202,1.0,0.453228,19.0,0,0,0,0,0,0
0,22990000,207,1.0,0.436087,13.0,0,0,0,0,0,0
0,22990000,1149,1.0,0.47125,17.0,0,0,0,0,0,0
0,22990000,208,1.0,0.400876,17.0,0,0,0,0,0,0
0,22990000,2632,1.0,0.498926,20.0,0,0,0,0,0,0
0,22990000,782,1.0,0.446981,14.0,0,0,0,0,0,0
0,22990000,2656,1.0,0.394114,16.0,0,0,0,0,0,0
0,22990000,196,1.0,0.625943,18.0,0,0,0,0,0,0
0,22990000,777,1.0,0.433344,15.0,0,0,0,0,0,0
0,22990000,199,1.0,0.371722,12.0,0,0,0,0,0,0
0,22990000,1156,1.0,0.468952,17.0,0,0,0,0,0,0
0,22990000,1158,1.0,0.519744,18.0,0,0,0,0,0,0
0,22990000,824,1.0,0.392369,16.0,0,0,0,0,0,0
0,22990000,780,1.0,0.426215,15.0,0,0,0,0,0,0
0,22990000,819,1.0,0.389265,16.0,0,0,0,0,0,0
0,22990000,2614,1.0,0.51026,19.0,0,0,0,0,0,0
0,22990000,2628,1.0,0.444385,14.0,0,0,0,0,0,0
0,22990000,2629,1.0,0.420746,15.0,0,0,0,0,0,0
0,22990000,2630,1.0,0.400588,13.0,0,0,0,0,0,0
0,22990000,2611,1.0,0.404027,15.0,0,0,0,0,0,0
0,22990000,821,1.0,0.390024,13.0,0,0,0,0,0,0
0,22990000,778,1.0,0.40642,14.0,0,0,0,0,0,0
0,22990000,2048,1.0,0.503918,18.0,0,0,0,0,0,0
0,22990000,1157,1.0,0.43591,13.0,0,0,0,0,0,0
0,22990000,822,1.0,0.392111,15.0,0,0,0,0,0,0
0,22990000,2856,1.0,0.430436,15.0,0,0,0,0,0,0
0,22990000,1216,1.0,0.428642,18.0,0,0,0,0,0,0
0,22990000,823,1.0,0.404732,15.0,0,0,0,0,0,0
0,22990000,2631,1.0,0.437576,16.0,0,0,0,0,0,0
0,22990000,785,1.0,0.392844,16.0,0,0,0,0,0,0
0,22990000,2636,1.0,0.427948,15.0,0,0,0,0,0,0
0,22990000,198,1.0,0.471433,16.0,0,0,0,0,0,0
0,22990000,2661,1.0,0.42131,17.0,0,0,0,0,0,0
0,22990000,2660,1.0,0.448968,15.0,0,0,0,0,0,0
0,22990000,8541,1.0,0.372761,16.0,0,0,0,0,0,0
0,22990000,8540,1.0,0.384624,13.0,0,0,0,0,0,0
0,22990000,8539,1.0,0.422165,14.0,0,0,0,0,0,0
0,22990000,8538,1.0,0.394389,16.0,0,0,0,0,0,0
0,22990000,8537,1.0,0.414423,15.0,0,0,0,0,0,0
0,22990000,5375,1.0,0.558127,17.0,0,0,0,0,0,0
0,22990000,210,1.0,0.401542,16.0,0,0,0,0,0,0
0,22990000,5374,1.0,0.457701,14.0,0,0,0,0,0,0
0,22990000,8533,1.0,0.381362,17.0,0,0,0,0,0,0
0,22990000,8535,1.0,0.407,17.0,0,0,0,0,0,0
0,22990000,8532,1.0,0.391324,16.0,0,0,0,0,0,0
0,22990000,8534,1.0,0.4142,18.0,0,0,0,0,0,0
0,22990000,8536,1.0,0.396699,15.0,0,0,0,0,0,0
0,22990000,8531,1.0,0.423205,15.0,0,0,0,0,0,0
0,22990000,2659,1.0,0.534859,17.0,0,0,0,0,0,0
0,22990000,2634,1.0,0.450254,18.0,0,0,0,0,0,0
0,22990000,2616,1.0,0.392982,16.0,0,0,0,0,0,0
0,22990000,1217,1.0,0.395173,15.0,0,0,0,0,0,0
0,22990000,1219,1.0,0.401958,14.0,0,0,0,0,0,0
0,22990000,1214,1.0,0.41543,12.0,0,0,0,0,0,0
0,22990000,2617,1.0,0.390711,15.0,0,0,0,0,0,0
0,22990000,2633,1.0,0.41276,17.0,0,0,0,0,0,0
0,22990000,1220,1.0,0.430826,20.0,0,0,0,0,0,0
0,22990000,634,1.0,0.400545,12.0,0,0,0,0,0,0
0,22990000,633,1.0,0.464191,16.0,0,0,0,0,0,0
0,22990000,632,1.0,0.44235,16.0,0,0,0,0,0,0
0,22990000,1888,1.0,0.442013,17.0,0,0,0,0,0,0
0,22990000,636,1.0,0.485524,17.0,0,0,0,0,0,0
0,22990000,628,1.0,0.539805,20.0,0,0,0,0,0,0
0,22990000,898,1.0,0.444429,17.0,0,0,0,0,0,0
0,22990000,2650,1.0,0.406499,16.0,0,0,0,0,0,0
0,22990000,1008,1.0,0.42043,15.0,0,0,0,0,0,0
0,22990000,631,1.0,0.460238,15.0,0,0,0,0,0,0
0,22990000,630,1.0,0.381157,13.0,0,0,0,0,0,0
0,22990000,629,1.0,0.496202,16.0,0,0,0,0,0,0
0,22990000,635,1.0,0.427781,16.0,0,0,0,0,0,0
0,22990000,2645,1.0,0.477915,20.0,0,0,0,0,0,0
0,22990000,2646,1.0,0.435977,18.0,0,0,0,0,0,0
0,22990000,830,1.0,0.374037,14.0,0,0,0,0,0,0
0,22990000,2638,1.0,0.435743,14.0,0,0,0,0,0,0
0,22990000,2644,1.0,0.408966,16.0,0,0,0,0,0,0
0,22990000,826,1.0,0.365409,16.0,0,0,0,0,0,0
0,22990000,1893,1.0,0.539618,17.0,0,0,0,0,0,0
0,22990000,2651,1.0,0.460299,14.0,0,0,0,0,0,0
0,22990000,836,1.0,0.417273,18.0,0,0,0,0,0,0
0,22990000,833,1.0,0.429093,17.0,0,0,0,0,0,0
0,22990000,835,1.0,0.418994,15.0,0,0,0,0,0,0
0,22990000,834,1.0,0.393753,16.0,0,0,0,0,0,0
0,22990000,832,1.0,0.388379,15.0,0,0,0,0,0,0
0,22990000,831,1.0,0.38733,16.0,0,0,0,0,0,0
0,22990000,2647,1.0,0.359614,15.0,0,0,0,0,0,0
0,22990000,2649,1.0,0.377509,18.0,0,0,0,0,0,0
0,22990000,1212,1.0,0.408663,12.0,0,0,0,0,0,0
0,22990000,2648,1.0,0.417072,15.0,0,0,0,0,0,0
0,22990000,640,1.0,0.409327,14.0,0,0,0,0,0,0
0,22990000,626,1.0,0.412974,16.0,0,0,0,0,0,0
0,22990000,2652,1.0,0.501836,21.0,0,0,0,0,0,0
0,22990000,6484,1.0,0.404164,17.0,0,0,0,0,0,0
0,22990000,1204,1.0,0.390692,12.0,0,0,0,0,0,0
0,22990000,1203,1.0,0.449404,17.0,0,0,0,0,0,0
0,22990000,2655,1.0,0.459385,16.0,0,0,0,0,0,0
0,22990000,6483,1.0,0.422728,18.0,0,0,0,0,0,0
0,22990000,1206,1.0,0.385288,14.0,0,0,0,0,0,0
0,22990000,1205,1.0,0.39988,14.0,0,0,0,0,0,0
0,22990000,1202,1.0,0.455779,17.0,0,0,0,0,0,0
0,22990000,2653,1.0,0.365526,17.0,0,0,0,0,0,0
0,22990000,2657,1.0,0.490204,14.0,0,0,0,0,0,0
0,22990000,2654,1.0,0.413671,15.0,0,0,0,0,0,0
0,22990000,994,1.0,0.404391,16.0,0,0,0,0,0,0
0,22990000,623,1.0,0.433198,14.0,0,0,0,0,0,0
0,22990000,1005,1.0,0.419656,18.0,0,0,0,0,0,0
0,22990000,627,1.0,0.377082,15.0,0,0,0,0,0,0
0,22990000,1884,1.0,0.475874,17.0,0,0,0,0,0,0
0,22990000,625,1.0,0.476645,16.0,0,0,0,0,0,0
0,22990000,6485,1.0,0.393985,19.0,0,0,0,0,0,0
0,22990000,829,1.0,0.379872,14.0,0,0,0,0,0,0
0,22990000,637,1.0,0.50862,19.0,0,0,0,0,0,0
0,22990000,2643,1.0,0.404498,17.0,0,0,0,0,0,0
0,22990000,2640,1.0,0.390362,14.0,0,0,0,0,0,0
0,22990000,2641,1.0,0.420006,14.0,0,0,0,0,0,0
0,22990000,2642,1.0,0.42997,16.0,0,0,0,0,0,0
0,22990000,860,1.0,0.423584,17.0,0,0,0,0,0,0
0,22990000,1208,1.0,0.435628,18.0,0,0,0,0,0,0
0,22990000,1207,1.0,0.420416,17.0,0,0,0,0,0,0
0,22990000,1892,1.0,0.400665,14.0,0,0,0,0,0,0
0,22990000,638,1.0,0.482241,17.0,0,0,0,0,0,0
0,22990000,8686,1.0,0.369871,13.0,0,0,0,0,0,0
0,22990000,996,1.0,0.359124,13.0,0,0,0,0,0,0
0,22990000,622,1.0,0.436489,14.0,0,0,0,0,0,0
0,22990000,2639,1.0,0.398684,13.0,0,0,0,0,0,0
0,22990000,4640,1.0,0.393008,17.0,0,0,0,0,0,0
0,22990000,1211,1.0,0.40971,15.0,0,0,0,0,0,0
0,22990000,8688,1.0,0.37558,12.0,0,0,0,0,0,0
0,22990000,8687,1.0,0.419406,16.0,0,0,0,0,0,0
0,22990000,8685,1.0,0.403508,14.0,0,0,0,0,0,0
0,22990000,1210,1.0,0.496032,15.0,0,0,0,0,0,0
0,22990000,1209,1.0,0.454489,14.0,0,0,0,0,0,0
0,22990000,655,1.0,0.401639,13.0,0,0,0,0,0,0
0,22990000,897,1.0,0.460299,18.0,0,0,0,0,0,0
0,22990000,896,1.0,0.367493,14.0,0,0,0,0,0,0
0,22990000,1004,1.0,0.450368,15.0,0,0,0,0,0,0
0,22990000,1003,1.0,0.435927,17.0,0,0,0,0,0,0
0,22990000,1006,1.0,0.457416,15.0,0,0,0,0,0,0
0,22990000,995,1.0,0.3518,17.0,0,0,0,0,0,0
0,22990000,1890,1.0,0.453315,14.0,0,0,0,0,0,0
0,22990000,1891,1.0,0.434771,14.0,0,0,0,0,0,0
0,22990000,1887,1.0,0.419664,16.0,0,0,0,0,0,0
0,22990000,1885,1.0,0.454389,17.0,0,0,0,0,0,0
0,22990000,1007,1.0,0.354193,14.0,0,0,0,0,0,0
0,22990000,1002,1.0,0.439344,17.0,0,0,0,0,0,0
0,22990000,1001,1.0,0.424446,15.0,0,0,0,0,0,0
0,22990000,899,1.0,0.504704,16.0,0,0,0,0,0,0
0,22990000,900,2.0,0.6363,19.0,0,0,0,0,0,0
0,22990000,5311,1.0,0.402498,14.0,0,0,0,0,0,0
0,22990000,5310,1.0,0.415149,16.0,0,0,0,0,0,0
0,22990000,5309,1.0,0.390312,15.0,0,0,0,0,0,0
0,22990000,657,1.0,0.474604,19.0,0,0,0,0,0,0
0,22990000,1886,1.0,0.423794,15.0,0,0,0,0,0,0
0,22990000,639,1.0,0.600771,18.0,0,0,0,0,0,0
0,22990000,1883,1.0,0.428364,13.0,0,0,0,0,0,0
0,22990000,654,1.0,0.404961,16.0,0,0,0,0,0,0
0,22990000,1889,1.0,0.35811,13.0,0,0,0,0,0,0
0,22990000,842,1.0,0.391926,13.0,0,0,0,0,0,0
0,22990000,839,1.0,0.344333,15.0,0,0,0,0,0,0
0,22990000,841,1.0,0.376537,15.0,0,0,0,0,0,0
0,22990000,656,1.0,0.426725,15.0,0,0,0,0,0,0
0,22990000,840,1.0,0.428898,15.0,0,0,0,0,0,0
0,22990000,999,1.0,0.407775,15.0,0,0,0,0,0,0
0,22990000,998,1.0,0.373449,14.0,0,0,0,0,0,0
0,22990000,1000,1.0,0.435495,15.0,0,0,0,0,0,0
0,22990000,997,1.0,0.385251,16.0,0,0,0,0,0,0
0,22990000,5305,1.0,0.350134,14.0,0,0,0,0,0,0
0,22990000,850,1.0,0.39202,16.0,0,0,0,0,0,0
0,22990000,837,1.0,0.359548,16.0,0,0,0,0,0,0
0,22990000,838,1.0,0.376778,14.0,0,0,0,0,0,0
0,22990000,843,1.0,0.392211,15.0,0,0,0,0,0,0
0,22990000,1201,2.0,0.689876,16.0,0,0,0,0,0,0
0,22990000,894,1.0,0.36313,15.0,0,0,0,0,0,0
0,22990000,3220,1.0,0.392984,15.0,0,0,0,0,0,0
0,22990000,893,1.0,0.37968,17.0,0,0,0,0,0,0
0,22990000,6486,1.0,0.412139,21.0,0,0,0,0,0,0
0,22990000,890,1.0,0.397714,16.0,0,0,0,0,0,0
0,22990000,892,1.0,0.371613,16.0,0,0,0,0,0,0
0,22990000,891,1.0,0.358032,18.0,0,0,0,0,0,0
0,22990000,895,1.0,0.394711,14.0,0,0,0,0,0,0
0,22990000,5308,1.0,0.413879,17.0,0,0,0,0,0,0
0,22990000,5338,1.0,0.403773,15.0,0,0,0,0,0,0
0,22990000,5337,1.0,0.453634,15.0,0,0,0,0,0,0
0,22990000,5301,1.0,0.549911,17.0,0,0,0,0,0,0
0,22990000,845,1.0,0.379826,14.0,0,0,0,0,0,0
0,22990000,846,1.0,0.423228,17.0,0,0,0,0,0,0
0,22990000,844,1.0,0.401402,16.0,0,0,0,0,0,0
0,22990000,848,1.0,0.433394,15.0,0,0,0,0,0,0
0,22990000,5300,1.0,0.40482,12.0,0,0,0,0,0,0
0,22990000,849,1.0,0.380259,17.0,0,0,0,0,0,0
0,22990000,847,1.0,0.373868,15.0,0,0,0,0,0,0
0,22990000,5302,1.0,0.517791,17.0,0,0,0,0,0,0
